Date,SP500_price,NASDAQ_price,ARKK_price,IVV_price,QQQ_price,SPY_price,VTI_price,SP500_ret,NASDAQ_ret,ARKK_ret,IVV_ret,QQQ_ret,SPY_ret,VTI_ret
2019-03-29,2834.39990234375,7729.31982421875,45.073333740234375,256.3037414550781,172.47802734375,255.91673278808594,131.0693817138672,0.0067342800173637585,0.007843078580405782,0.012787273943963173,0.006615254571969986,0.007571278399647774,0.006305519873889498,0.006608998137429101
2019-04-01,2867.18994140625,7828.91015625,45.748512268066406,259.2669677734375,174.7628631591797,258.95172119140625,132.5909423828125,0.011568600124275408,0.01288474720882915,0.01497955602137635,0.01156138533732154,0.013247112403923733,0.011859280830353036,0.01160881854365492
2019-04-02,2867.239990234375,7848.68994140625,46.11503982543945,259.33001708984375,175.42529296875,259.07855224609375,132.5819091796875,1.745570720723677e-05,0.0025265055750396392,0.008011791842002625,0.00024318298990300136,0.0037904495131035887,0.0004897864903310456,-6.812835750813484e-05
2019-04-03,2873.39990234375,7895.5498046875,47.05065155029297,259.7984313964844,176.43331909179688,259.4862976074219,132.89895629882812,0.002148376881724312,0.005970405714976534,0.020288646142237132,0.001806247930328686,0.005746184634996876,0.00157382908694359,0.0023913301679110432
2019-04-04,2879.389892578125,7891.77978515625,46.42369842529297,260.419921875,176.3661346435547,260.1748046875,133.17970275878906,0.0020846350796801527,-0.00047748663798075075,-0.01332506786499743,0.0023922025824980597,-0.0003807922935873398,0.0026533465790927746,0.0021124805474745934
2019-04-05,2892.739990234375,7938.68994140625,47.17604446411133,261.6088562011719,177.27813720703125,261.43402099609375,133.84991455078125,0.004636432770241061,0.005944179580154252,0.016206077161841526,0.004565450744365762,0.005171075304903461,0.004839885668814992,0.005032386903626396
2019-04-08,2895.77001953125,7953.8798828125,47.079593658447266,261.8970947265625,177.72935485839844,261.63348388671875,133.96766662597656,0.0010474599539205265,0.00191340655931449,-0.0020444869161813095,0.0011017919254574515,0.0025452526660985075,0.0007629569015732418,0.0008797321656162094
2019-04-09,2878.199951171875,7909.27978515625,46.58767318725586,260.5459899902344,177.1053466796875,260.2926330566406,133.16160583496094,-0.006067494393846573,-0.005607338596177014,-0.010448698320554506,-0.005158914564282413,-0.0035110023282766134,-0.0051249205956325206,-0.0060168308616291855
2019-04-10,2888.2099609375,7964.240234375,47.24356460571289,261.40167236328125,178.0557861328125,261.1803894042969,133.77749633789062,0.0034778715639784963,0.006948856370196488,0.014078647281239531,0.0032841893789228305,0.005366520384299633,0.0034106088106728993,0.004625135744405373
2019-04-11,2888.320068359375,7947.35986328125,46.63589859008789,261.3835754394531,177.63333129882812,261.1080017089844,133.76837158203125,3.8123067008344336e-05,-0.0021195205816232354,-0.012862408260182812,-6.923032918848548e-05,-0.0023725981792541706,-0.0002771559360854603,-6.8208451414975e-05
